package	version	architecture	installed_size_kib	match
libgpiolib0:arm64	20251120-1	arm64	150	exact
libgprofng0:arm64	2.44-3	arm64	2703	exact
libgssapi-krb5-2:arm64	1.21.3-5	arm64	487	exact
libgudev-1.0-0:arm64	238-6	arm64	84	exact
libhidapi-hidraw0:arm64	0.14.0-1+b2	arm64	89	exact
libhogweed6t64:arm64	3.10.1-1	arm64	507	exact
libhwasan0:arm64	14.2.0-19	arm64	4888	exact
libicu76:arm64	76.1-4	arm64	37547	exact
libidn2-0:arm64	2.3.8-2	arm64	442	exact
libinotifytools0:arm64	4.23.9.0-2+b1	arm64	91	exact
libisl23:arm64	0.27-1	arm64	2427	exact
libitm1:arm64	14.2.0-19	arm64	146	exact
libiw30t64:arm64	30~pre9-18+b1	arm64	86	exact
libjansson4:arm64	2.14-2+b3	arm64	108	exact
libjaylink0:arm64	0.4.0-1	arm64	81	exact
libjbig0:arm64	2.1-6.1+b2	arm64	97	exact
libjim0.83:arm64	0.83-2	arm64	414	exact
libjpeg62-turbo:arm64	1:2.1.5-4	arm64	478	exact
libjson-c5:arm64	0.18+ds-1	arm64	168	exact
libk5crypto3:arm64	1.21.3-5	arm64	278	exact
libkeyutils1:arm64	1.6.3-6	arm64	85	exact
libklibc:arm64	2.0.14-1	arm64	154	exact
libkmod2:arm64	34.2-2	arm64	168	exact
libkms++0:arm64	0~git20250807.1813ada-1	arm64	472	exact
libkrb5-3:arm64	1.21.3-5	arm64	1166	exact
libkrb5support0:arm64	1.21.3-5	arm64	154	exact
libksba8:arm64	1.6.7-2+b1	arm64	378	exact
liblastlog2-2:arm64	2.41-5	arm64	124	exact
libldap-common	2.6.10+dfsg-1	all	99	exact
libldap2:arm64	2.6.10+dfsg-1	arm64	576	exact
liblerc4:arm64	4.0.0+ds-5	arm64	552	exact
liblgpio1:arm64	0.2.2-1~rpt1+trixie	arm64	148	exact
liblocale-gettext-perl	1.07-7+b1	arm64	101	exact
liblsan0:arm64	14.2.0-19	arm64	3846	exact
liblttng-ust-common1t64:arm64	2.13.9-1	arm64	150	exact
liblttng-ust-ctl5t64:arm64	2.13.9-1	arm64	410	exact
liblttng-ust1t64:arm64	2.13.9-1	arm64	1239	exact
libluajit-5.1-2:arm64	2.1.0+openresty20250117-2	arm64	606	exact
libluajit-5.1-common	2.1.0+openresty20250117-2	all	260	exact
liblz4-1:arm64	1.10.0-4	arm64	217	exact
liblzma5:arm64	5.8.1-1	arm64	435	exact
libmagic-mgc	1:5.46-5	arm64	10154	exact
libmagic1t64:arm64	1:5.46-5	arm64	260	exact
libmatroska7:arm64	1.7.1-1+b2	arm64	727	exact
libmbim-glib4:arm64	1.32.0-1	arm64	964	exact
libmbim-proxy	1.32.0-1	arm64	80	exact
libmbim-utils	1.32.0-1	arm64	303	exact
libmd0:arm64	1.1.0-2+b1	arm64	102	exact
libmm-glib0:arm64	1.24.0-1+deb13u1	arm64	1481	exact
libmnl0:arm64	1.0.5-3	arm64	86	exact
libmount1:arm64	2.41-5	arm64	589	exact
libmpc3:arm64	1.3.1-1+b3	arm64	150	exact
libmpfr6:arm64	4.2.2-1	arm64	1192	exact
libmtp-common	1.1.22-1	all	165	exact
libmtp-runtime	1.1.22-1	arm64	108	exact
libmtp9t64:arm64	1.1.22-1	arm64	709	exact
libncursesw6:arm64	6.5+20250216-2	arm64	568	exact
libndp0:arm64	1.9-1+b1	arm64	86	exact
libnetfilter-conntrack3:arm64	1.1.0-1	arm64	152	exact
libnetplan1:arm64	1.1.2-7+rpt1	arm64	417	exact
libnettle8t64:arm64	3.10.1-1	arm64	543	exact
libnewt0.52:arm64	0.52.25-1	arm64	393	exact
libnfnetlink0:arm64	1.0.2-3	arm64	83	exact
libnftables1:arm64	1.1.3-1	arm64	1104	exact
libnftnl11:arm64	1.2.9-1	arm64	295	exact
libnghttp2-14:arm64	1.64.0-1.1	arm64	229	exact
libnghttp3-9:arm64	1.8.0-1	arm64	233	exact
libngtcp2-16:arm64	1.11.0-1	arm64	363	exact
libngtcp2-crypto-gnutls8:arm64	1.11.0-1	arm64	104	exact
libnl-3-200:arm64	3.7.0-2	arm64	236	exact
libnl-genl-3-200:arm64	3.7.0-2	arm64	93	exact
libnl-route-3-200:arm64	3.7.0-2	arm64	665	exact
libnm0:arm64	1.52.1-1+rpt4	arm64	1789	exact
libnpth0t64:arm64	1.8-3	arm64	101	exact
libnspr4:arm64	2:4.36-1	arm64	425	exact
libnss-mdns:arm64	0.15.1-4+b1	arm64	430	exact
libnss3:arm64	2:3.110-1	arm64	4588	exact
libntfs-3g89t64:arm64	1:2022.10.3-5	arm64	419	exact
libnuma1:arm64	2.0.19-1	arm64	87	exact
libnvme1t64	1.13-2	arm64	358	exact
libogg0:arm64	1.3.5-3+b2	arm64	90	exact
libossp-uuid16:arm64	1.6.4-1	arm64	171	exact
libp11-kit0:arm64	0.25.5-3	arm64	2062	exact
libpam-chksshpwd:arm64	2.0	arm64	86	exact
libpam-modules:arm64	1.7.0-5	arm64	3055	exact
libpam-modules-bin	1.7.0-5	arm64	446	exact
libpam-runtime	1.7.0-5	all	1028	exact
libpam-systemd:arm64	257.9-1~deb13u1	arm64	740	exact
libpam0g:arm64	1.7.0-5	arm64	295	exact
libparted2t64:arm64	3.6-5	arm64	609	exact
libpcap0.8t64:arm64	1.10.5-2	arm64	402	exact
libpci3:arm64	1:3.13.0-2	arm64	191	exact
libpcre2-16-0:arm64	10.46-1~deb13u1	arm64	657	exact
libpcre2-8-0:arm64	10.46-1~deb13u1	arm64	722	exact
libpcsclite1:arm64	2.3.3-1	arm64	181	exact
libperl5.40:arm64	5.40.1-6	arm64	30982	exact
libpipeline1:arm64	1.5.8-1	arm64	97	exact
libpisp-common	1.3.0-1	all	31	exact
libpisp1:arm64	1.3.0-1	arm64	859	exact
libpkgconf3:arm64	1.8.1-4	arm64	101	exact
libpng16-16t64:arm64	1.6.48-1	arm64	476	exact
libpolkit-agent-1-0:arm64	126-2	arm64	92	exact
libpolkit-gobject-1-0:arm64	126-2	arm64	227	exact
libpopt0:arm64	1.19+dfsg-2	arm64	257	exact
libproc2-0:arm64	2:4.0.4-9	arm64	229	exact
libpsl5t64:arm64	0.21.2-1.1+b1	arm64	156	exact
libpugixml1v5:arm64	1.14-2	arm64	296	exact
libpython3-stdlib:arm64	3.13.5-1	arm64	28	exact
libpython3.13:arm64	3.13.5-2	arm64	7369	exact
libpython3.13-minimal:arm64	3.13.5-2	arm64	5466	exact
libpython3.13-stdlib:arm64	3.13.5-2	arm64	10504	exact
libqmi-glib5:arm64	1.36.0-1	arm64	4823	exact
libqmi-proxy	1.36.0-1	arm64	82	exact
libqmi-utils	1.36.0-1	arm64	904	exact
libqrtr-glib0:arm64	1.2.2-1+b2	arm64	89	exact
libqt6core6t64:arm64	6.8.2+dfsg-9+deb13u1	arm64	6343	exact
libreadline8t64:arm64	8.2-6	arm64	557	exact
librpicam-app1:arm64	1.10.1-1	arm64	727	fallback
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b5	arm64	156	exact
libsamplerate0:arm64	0.2.2-4+b2	arm64	1506	exact
libsasl2-2:arm64	2.1.28+dfsg1-9	arm64	180	exact
libsasl2-modules:arm64	2.1.28+dfsg1-9	arm64	526	exact
libsasl2-modules-db:arm64	2.1.28+dfsg1-9	arm64	106	exact
libseccomp2:arm64	2.6.0-2	arm64	217	exact
libselinux1:arm64	3.8.1-1	arm64	289	exact
libsemanage-common	3.8.1-1	all	21	exact
libsemanage2:arm64	3.8.1-1	arm64	354	exact
libsepol2:arm64	3.8.1-1	arm64	863	exact
libsframe1:arm64	2.44-3	arm64	146	exact
libsharpyuv0:arm64	1.5.0-0.1	arm64	183	exact
libslang2:arm64	2.3.3-5+b2	arm64	2559	exact
libsmartcols1:arm64	2.41-5	arm64	457	exact
libsource-highlight-common	3.1.9-4.3	all	320	exact
libsource-highlight4t64:arm64	3.1.9-4.3+b1	arm64	1201	exact
libsqlite3-0:arm64	3.46.1-7	arm64	1854	exact
libss2:arm64	1.47.2-3+b3	arm64	112	exact
libssh2-1t64:arm64	1.11.1-1	arm64	473	exact
libssl3t64:arm64	3.5.4-1~deb13u1+rpt1	arm64	8010	exact
libstdc++-14-dev:arm64	14.2.0-19	arm64	22043	exact
libstdc++6:arm64	14.2.0-19	arm64	3022	exact
libsystemd-shared:arm64	257.9-1~deb13u1	arm64	6945	exact
libsystemd0:arm64	257.9-1~deb13u1	arm64	1275	exact
libtalloc2:arm64	2:2.4.3+samba4.22.6+dfsg-0+deb13u1	arm64	140	exact
libtasn1-6:arm64	4.20.0-2	arm64	167	exact
libteamdctl0:arm64	1.31-1+b2	arm64	85	exact
libtext-charwidth-perl:arm64	0.04-11+b4	arm64	94	exact
libtext-iconv-perl:arm64	1.7-8+b4	arm64	98	exact
libtext-wrapi18n-perl	0.06-10	all	26	exact
libtiff6:arm64	4.7.0-3+deb13u1	arm64	754	exact
libtinfo6:arm64	6.5+20250216-2	arm64	673	exact
libtirpc-common	1.3.6+ds-1	all	32	exact
libtirpc3t64:arm64	1.3.6+ds-1	arm64	304	exact
libtsan2:arm64	14.2.0-19	arm64	8949	exact
libubsan1:arm64	14.2.0-19	arm64	3358	exact
libuchardet0:arm64	0.0.8-1+b2	arm64	276	exact
libudev1:arm64	257.9-1~deb13u1	arm64	404	exact
libudisks2-0:arm64	2.10.1-12.1+deb13u1	arm64	983	exact
libunistring5:arm64	1.3-2	arm64	2128	exact
libusb-1.0-0:arm64	2:1.0.28-1	arm64	161	exact
libuuid1:arm64	2.41-5	arm64	126	exact
libv4l-0t64:arm64	1.30.1-1	arm64	481	exact
libv4l2rds0t64:arm64	1.30.1-1	arm64	178	exact
libv4lconvert0t64:arm64	1.30.1-1	arm64	442	exact
libvolume-key1:arm64	0.3.12-9	arm64	811	exact
libvorbis0a:arm64	1.3.7-3	arm64	220	exact
libwbclient0:arm64	2:4.22.6+dfsg-0+deb13u1	arm64	207	exact
libwebp7:arm64	1.5.0-0.1	arm64	503	exact
libwrap0:arm64	7.6.q-36	arm64	130	exact
libwtmpdb0:arm64	0.73.0-3+deb13u1	arm64	91	exact
libx11-6:arm64	2:1.8.12-1	arm64	1689	exact
libx11-data	2:1.8.12-1	all	1576	exact
libxau6:arm64	1:1.0.11-1	arm64	94	exact
libxcb1:arm64	1.17.0-2+b1	arm64	329	exact
libxdmcp6:arm64	1:1.1.5-1	arm64	99	exact
libxext6:arm64	2:1.3.4-1+b3	arm64	181	exact
libxml2:arm64	2.12.7+dfsg+really2.9.14-2.1+deb13u2	arm64	1890	exact
libxmuu1:arm64	2:1.1.3-3+b4	arm64	97	exact
libxtables12:arm64	1.8.11-2	arm64	101	exact
libxxhash0:arm64	0.8.3-2	arm64	88	exact
libyaml-0-2:arm64	0.2.5-2	arm64	151	exact
libyuv0:arm64	0.0.1904.20250204-1	arm64	596	exact
libzstd1:arm64	1.5.7+dfsg-1	arm64	748	exact
linux-base	4.12	all	76	exact
linux-headers-6.12.47+rpt-common-rpi	1:6.12.47-1+rpt1	all	47580	exact
linux-headers-6.12.47+rpt-rpi-2712	1:6.12.47-1+rpt1	arm64	3513	exact
linux-headers-6.12.47+rpt-rpi-v8	1:6.12.47-1+rpt1	arm64	3513	exact
linux-headers-rpi-2712	1:6.12.47-1+rpt1	arm64	10	exact
linux-headers-rpi-v8	1:6.12.47-1+rpt1	arm64	10	exact
linux-image-6.12.47+rpt-rpi-2712	1:6.12.47-1+rpt1	arm64	35880	exact
linux-image-6.12.47+rpt-rpi-v8	1:6.12.47-1+rpt1	arm64	35889	exact
linux-image-rpi-2712	1:6.12.47-1+rpt1	arm64	13	exact
linux-image-rpi-v8	1:6.12.47-1+rpt1	arm64	13	exact
linux-kbuild-6.12.47+rpt	1:6.12.47-1+rpt1	arm64	3431	exact
linux-libc-dev	1:6.12.47-1+rpt1	all	8210	exact
linux-sysctl-defaults	4.12	all	19	exact
locales	2.41-12+rpt1	all	15774	exact
login	1:4.16.0-2+really2.41-5	arm64	416	exact
login.defs	1:4.17.4-2	all	214	exact
logrotate	3.22.0-1+b2	arm64	192	exact
logsave	1.47.2-3+b3	arm64	111	exact
lsb-release	12.1-1	all	17	exact
lua5.1	5.1.5-11	arm64	481	exact
luajit	2.1.0+openresty20250117-2	arm64	597	exact
make	4.4.1-2	arm64	1822	exact
man-db	2.13.1-1	arm64	3562	exact
manpages	6.9.1-1	all	1668	exact
manpages-dev	6.9.1-1	all	3978	exact
mawk	1.3.4.20250131-1	arm64	320	exact
media-types	13.0.0	all	98	exact
mkvtoolnix	92.0-1	arm64	27961	exact
modemmanager	1.24.0-1+deb13u1	arm64	7047	exact
